Service Bus Metrics
=====================

[1] Incoming Messages

TimeStamp           Average Minimum Maximum Total Count
---------           ------- ------- ------- ----- -----
22.07.2020 18:09:00                             0      
22.07.2020 19:09:00                             0      
22.07.2020 20:09:00                             0      
22.07.2020 21:09:00                             0      
22.07.2020 22:09:00                             0      
22.07.2020 23:09:00                             0      
23.07.2020 00:09:00                             0      
23.07.2020 01:09:00                             0      
23.07.2020 02:09:00                             0      
23.07.2020 03:09:00                             0      
23.07.2020 04:09:00                             0      
23.07.2020 05:09:00                             0      
23.07.2020 06:09:00                             0      
23.07.2020 07:09:00                             0      
23.07.2020 08:09:00                             0      
23.07.2020 09:09:00                             0      
23.07.2020 10:09:00                             0      
23.07.2020 11:09:00                             0      
23.07.2020 12:09:00                             0      
23.07.2020 13:09:00                             0      
23.07.2020 14:09:00                             0      
23.07.2020 15:09:00                             0      
23.07.2020 16:09:00                             0      
23.07.2020 17:09:00                             0      


[2] Outgoing Messages

TimeStamp           Average Minimum Maximum Total Count
---------           ------- ------- ------- ----- -----
22.07.2020 18:09:00                             0      
22.07.2020 19:09:00                             0      
22.07.2020 20:09:00                             0      
22.07.2020 21:09:00                             0      
22.07.2020 22:09:00                             0      
22.07.2020 23:09:00                             0      
23.07.2020 00:09:00                             0      
23.07.2020 01:09:00                             0      
23.07.2020 02:09:00                             0      
23.07.2020 03:09:00                             0      
23.07.2020 04:09:00                             0      
23.07.2020 05:09:00                             0      
23.07.2020 06:09:00                             0      
23.07.2020 07:09:00                             0      
23.07.2020 08:09:00                             0      
23.07.2020 09:09:00                             0      
23.07.2020 10:09:00                             0      
23.07.2020 11:09:00                             0      
23.07.2020 12:09:00                             0      
23.07.2020 13:09:00                             0      
23.07.2020 14:09:00                             0      
23.07.2020 15:09:00                             0      
23.07.2020 16:09:00                             0      
23.07.2020 17:09:00                             0      


[3] Server Errors

TimeStamp           Average Minimum Maximum Total Count
---------           ------- ------- ------- ----- -----
22.07.2020 18:09:00                             0      
22.07.2020 19:09:00                             0      
22.07.2020 20:09:00                             0      
22.07.2020 21:09:00                             0      
22.07.2020 22:09:00                             0      
22.07.2020 23:09:00                             0      
23.07.2020 00:09:00                             0      
23.07.2020 01:09:00                             0      
23.07.2020 02:09:00                             0      
23.07.2020 03:09:00                             0      
23.07.2020 04:09:00                             0      
23.07.2020 05:09:00                             0      
23.07.2020 06:09:00                             0      
23.07.2020 07:09:00                             0      
23.07.2020 08:09:00                             0      
23.07.2020 09:09:00                             1      
23.07.2020 10:09:00                             0      
23.07.2020 11:09:00                             0      
23.07.2020 12:09:00                             0      
23.07.2020 13:09:00                             0      
23.07.2020 14:09:00                             0      
23.07.2020 15:09:00                             0      
23.07.2020 16:09:00                             0      
23.07.2020 17:09:00                             0      


[4] Incoming Requests

TimeStamp           Average Minimum Maximum Total Count
---------           ------- ------- ------- ----- -----
22.07.2020 18:09:00                           119      
22.07.2020 19:09:00                           118      
22.07.2020 20:09:00                           118      
22.07.2020 21:09:00                           119      
22.07.2020 22:09:00                           118      
22.07.2020 23:09:00                           118      
23.07.2020 00:09:00                           119      
23.07.2020 01:09:00                           118      
23.07.2020 02:09:00                           119      
23.07.2020 03:09:00                           118      
23.07.2020 04:09:00                           119      
23.07.2020 05:09:00                           118      
23.07.2020 06:09:00                           118      
23.07.2020 07:09:00                           119      
23.07.2020 08:09:00                           118      
23.07.2020 09:09:00                           119      
23.07.2020 10:09:00                           118      
23.07.2020 11:09:00                           119      
23.07.2020 12:09:00                           120      
23.07.2020 13:09:00                           119      
23.07.2020 14:09:00                           119      
23.07.2020 15:09:00                           118      
23.07.2020 16:09:00                           119      
23.07.2020 17:09:00                           118      


